iter	Passed	Remaining
471	675	755
472	676	753
473	677	751
474	678	749
475	679	747
476	680	745
477	681	743
478	682	741
479	683	739
480	683	737
481	684	736
482	685	734
483	686	732
484	687	730
485	688	728
486	689	726
487	691	725
488	692	723
489	693	721
490	694	719
491	695	718
492	697	716
493	698	715
494	699	713
495	700	711
496	701	709
497	702	707
498	703	705
499	703	703
500	704	702
501	706	700
502	707	698
503	708	696
504	709	695
505	710	693
506	711	691
507	711	689
508	712	687
509	713	685
510	714	683
511	715	681
512	716	680
513	717	678
514	718	676
515	719	674
516	720	673
517	722	671
518	723	670
519	724	668
520	725	667
521	726	665
522	727	663
523	728	661
524	729	660
525	730	658
526	731	656
527	732	654
528	733	653
529	734	651
530	735	649
531	736	647
532	737	646
533	738	644
534	739	642
535	740	641
536	741	639
537	742	637
538	743	635
539	744	634
540	745	632
541	746	630
542	747	629
543	748	627
544	749	625
545	750	623
546	751	622
547	753	621
548	754	619
549	755	617
550	756	616
551	757	614
552	758	612
553	759	611
554	760	609
555	761	607
556	762	606
557	763	604
558	763	602
559	764	600
560	765	599
561	766	597
562	768	596
563	769	594
564	770	592
565	770	591
566	771	589
567	772	587
568	773	586
569	774	584
570	775	582
571	776	581
572	777	579
573	778	577
574	779	576
575	780	574
576	781	573
577	783	571
578	784	570
579	785	568
580	786	566
581	787	565
582	788	563
583	788	561
584	789	560
585	790	558
586	791	556
587	792	555
588	793	553
589	794	552
590	795	550
591	797	549
592	799	548
593	800	547
594	801	545
595	802	543
596	803	542
597	804	540
598	805	539
599	806	537
600	807	535
601	808	534
602	809	532
603	810	531
604	811	529
605	812	528
606	814	527
607	815	525
608	816	524
609	817	522
610	818	521
611	819	519
612	820	518
613	821	516
614	822	515
615	823	513
616	824	512
617	825	510
618	826	508
619	827	507
620	829	506
621	830	504
622	831	503
623	832	501
624	833	500
625	834	498
626	835	497
627	836	495
628	837	494
629	838	492
630	839	490
631	840	489
632	841	487
633	842	486
634	843	484
635	845	483
636	846	482
637	847	480
638	848	479
639	849	477
640	850	476
641	851	474
642	852	473
643	853	471
644	854	470
645	855	468
646	856	467
647	857	465
648	858	464
649	859	462
650	861	461
651	861	460
652	862	458
653	863	457
654	864	455
655	865	454
656	866	452
657	867	451
658	868	449
659	869	448
660	870	446
661	871	445
662	872	443
663	873	442
664	874	440
665	876	439
666	877	437
667	878	436
668	879	434
669	880	433
670	881	432
671	882	430
672	883	429
673	884	427
674	884	426
675	885	424
676	886	423
677	887	421
678	888	420
679	889	418
680	891	417
681	892	416
682	893	414
683	894	413
684	895	411
685	896	410
686	897	408
687	898	407
688	899	406
689	900	404
690	901	403
691	902	401
692	903	400
693	904	398
694	906	397
695	907	396
696	909	395
697	910	393
698	911	392
699	912	391
700	913	389
701	914	388
702	915	386
703	916	385
704	917	384
705	919	382
706	920	381
707	921	380
708	923	378
709	924	377
710	925	376
711	927	375
712	930	374
713	932	373
714	934	372
715	935	371
716	937	370
717	939	368
718	940	367
719	941	366
720	942	364
721	943	363
722	944	361
723	945	360
724	946	358
725	947	357
726	948	356
727	949	354
728	950	353
729	951	351
730	952	350
731	953	349
732	954	347
733	956	346
734	957	345
735	958	343
736	959	342
737	961	341
738	962	339
739	963	338
740	964	337
741	965	335
742	967	334
743	968	333
744	970	332
745	971	330
746	972	329
747	973	328
748	975	326
749	975	325
750	977	323
751	978	322
752	979	321
753	980	319
754	982	318
755	985	318
756	986	316
757	987	315
758	988	313
759	989	312
760	990	311
761	991	309
762	992	308
763	993	306
764	994	305
765	995	304
766	996	302
767	998	301
768	999	300
769	1000	298
770	1002	297
771	1003	296
772	1004	294
773	1005	293
774	1007	292
775	1008	291
776	1009	289
777	1010	288
778	1012	287
779	1014	286
780	1015	284
781	1017	283
782	1019	282
783	1020	281
784	1021	279
785	1022	278
786	1023	277
787	1024	275
788	1026	274
789	1027	273
790	1028	271
791	1030	270
792	1031	269
793	1032	267
794	1033	266
795	1034	265
796	1035	263
797	1036	262
798	1037	261
799	1038	259
800	1039	258
801	1040	256
802	1042	255
803	1043	254
804	1044	253
805	1045	251
806	1047	250
807	1048	249
808	1049	247
809	1050	246
810	1051	245
811	1052	243
812	1053	242
813	1055	241
814	1056	239
815	1057	238
816	1059	237
817	1060	235
818	1061	234
819	1062	233
820	1064	232
821	1065	230
822	1066	229
823	1067	228
824	1068	226
825	1070	225
826	1071	224
827	1072	222
828	1073	221
829	1075	220
830	1076	218
831	1078	217
832	1079	216
833	1080	215
834	1081	213
835	1082	212
836	1083	211
837	1085	209
838	1086	208
839	1088	207
840	1089	206
841	1091	204
842	1092	203
843	1093	202
844	1095	200
845	1096	199
846	1097	198
847	1098	196
848	1099	195
849	1101	194
850	1102	193
851	1103	191
852	1105	190
853	1106	189
854	1108	187
855	1109	186
856	1110	185
857	1111	184
858	1112	182
859	1114	181
860	1115	180
861	1116	178
862	1117	177
863	1119	176
864	1120	174
865	1122	173
866	1123	172
867	1124	171
868	1126	169
869	1128	168
870	1129	167
871	1130	165
872	1133	164
873	1134	163
874	1136	162
875	1137	160
876	1138	159
877	1139	158
878	1140	156
879	1141	155
880	1142	154
881	1143	152
882	1144	151
883	1145	150
884	1146	148
885	1147	147
886	1148	146
887	1149	145
888	1151	143
889	1152	142
890	1153	141
891	1154	139
892	1155	138
893	1156	137
894	1157	135
895	1158	134
896	1159	133
897	1160	131
898	1161	130
899	1162	129
900	1163	127
901	1164	126
902	1165	125
903	1166	123
904	1167	122
905	1168	121
906	1169	119
907	1171	118
908	1172	117
909	1173	116
910	1174	114
911	1175	113
912	1176	112
913	1177	110
914	1178	109
915	1179	108
916	1180	106
917	1181	105
918	1182	104
919	1184	102
920	1185	101
921	1186	100
922	1186	99
923	1187	97
924	1188	96
925	1189	95
926	1190	93
927	1191	92
928	1192	91
929	1193	89
930	1194	88
931	1195	87
932	1196	85
933	1198	84
934	1199	83
935	1200	82
936	1201	80
937	1202	79
938	1203	78
939	1204	76
940	1205	75
941	1206	74
942	1207	73
943	1208	71
944	1209	70
945	1210	69
946	1211	67
947	1213	66
948	1214	65
949	1215	63
950	1216	62
951	1218	61
952	1219	60
953	1221	58
954	1222	57
955	1223	56
956	1224	55
957	1225	53
958	1226	52
959	1227	51
960	1229	49
961	1230	48
962	1231	47
963	1232	46
964	1233	44
965	1234	43
966	1235	42
967	1236	40
968	1237	39
969	1238	38
970	1239	37
971	1240	35
972	1241	34
973	1242	33
974	1244	31
975	1245	30
976	1246	29
977	1247	28
978	1248	26
979	1249	25
980	1250	24
981	1251	22
982	1252	21
983	1253	20
984	1254	19
985	1255	17
986	1257	16
987	1258	15
988	1259	14
989	1260	12
990	1261	11
991	1262	10
992	1263	8
993	1264	7
994	1265	6
995	1266	5
996	1267	3
997	1268	2
998	1269	1
999	1270	0
